,link,category,location,id,date,countdates,counts
0,https://www.tesla.com/de_DE/careers/search/job/security-shiftlead-m-w-d-gigafactory-berlin-brandenburg-82844,None,"Grünheide (Gigafactory Berlin), Brandenburg",82844.0,2021-02-03,2021-01-28,12.0
110,https://www.tesla.com/de_DE/careers/search/job/electrical-design-engineering-lead-m-f-d-gigafactory-berlin-brandenburg-83001,None,"Grünheide (Gigafactory Berlin), Brandenburg",83001.0,2021-02-03,2020-12-04,1.0
73,https://www.tesla.com/de_DE/careers/search/job/senior-controls-engineer-die-casting-m-w-d-gigafactory-berlin-83231,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",83231.0,2021-02-03,2020-12-03,1.0
32,https://www.tesla.com/de_DE/careers/search/job/kraftfahrer-fr-automobiltransporte-m-w-d-gigafactory-berlin-brandenburg-83251,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",83251.0,2021-02-03,2021-01-12,3.0
4,https://www.tesla.com/de_DE/careers/search/job/security-operations-centre-soc-operator-mitarbeiter-in-leitstelle-m-w-d-gigafactory-berlin-83129,None,"Grünheide (Gigafactory Berlin), Brandenburg",83129.0,2021-02-03,2020-12-16,8.0
298,https://www.tesla.com/de_DE/careers/search/job/planungsingenieur-elektrotechnik-electrical-design-engineer-m-f-d-gigafactory-berlin-brandenburg-72701,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",72701.0,2021-02-03,,
21,https://www.tesla.com/de_DE/careers/search/job/cad-design-engineer-castings-cad-konstrukteur-gigafactory-berlin-m-w-d-81224,Engineering & Information Technology,"Grünheide (Gigafactory Berlin), Brandenburg",81224.0,2021-02-02,2021-01-13,4.0
192,https://www.tesla.com/de_DE/careers/search/job/construction-quality-control-supervisor-electrical-m-w-d-gigafactory-berlin-60756,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",60756.0,2021-02-02,,
75,https://www.tesla.com/de_DE/careers/search/job/schichtleiter-schichtleiterin-plastik-lackiererei-supervisor-plastics-paint-m-w-d-gigafactory-berlin-brandenburg-82672,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",82672.0,2021-02-01,2021-01-15,1.0
117,https://www.tesla.com/de_DE/careers/search/job/instandhalter-elektriker-facilities-maintenance-m-w-d-gigafactory-berlin-brandenburg-83021,None,"Grünheide (Gigafactory Berlin), Brandenburg",83021.0,2021-02-01,2020-11-23,1.0
71,https://www.tesla.com/de_DE/careers/search/job/instandhalter-fr-lagerverwaltung-facilities-operations-m-w-d-gigafactory-berlin-brandenburg-83020,None,"Grünheide (Gigafactory Berlin), Brandenburg",83020.0,2021-02-01,2020-04-21,1.0
